1	0	0	19	E604	41	42	BeastieBoy	FZ-0_F3-0	0	1	#WhimperingBee	2011-02-01 12:50:40
1	0	0	12	3	51	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	52	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	53	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	54	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	55	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	56	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	57	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	58	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	59	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	60	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	61	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	62	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	63	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	64	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	65	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	66	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	67	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	68	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	69	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	70	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	71	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	72	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	73	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	74	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	75	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	76	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	77	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	78	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	79	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	80	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	81	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	82	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	83	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	84	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	85	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	86	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	87	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	88	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	89	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	90	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	91	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	92	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	93	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	94	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	95	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	96	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	97	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	98	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	99	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	100	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
1	0	0	12	3	101	0	HolyTaoist	0	0	1	0	2011-02-01 12:58:28
